source_full_name,maintenance_events,frontmatter_events,body_events,both_regions_events,non_content_events,unknown_events,zero_event_convention,frontmatter_percent,body_percent
Azure/azure-rest-api-specs,9,8,6,5,0,0,False,88.88888888888889,66.66666666666667
Azure/azure-sdk-for-js,97,93,19,15,0,0,False,95.87628865979381,19.587628865979383
Azure/typespec-azure,8,5,6,3,0,0,False,62.5,75.0
Hack23/euparliamentmonitor,2524,1348,1733,559,2,0,False,53.40729001584786,68.66085578446909
Hack23/riksdagsmonitor,2602,1071,1895,364,0,0,False,41.16064565718678,72.82859338970023
Kong/kongctl,27,16,17,6,0,0,False,59.25925925925926,62.96296296296296
Z3Prover/z3,94,70,38,14,0,0,False,74.46808510638297,40.42553191489362
apache/cloudstack,2,2,1,1,0,0,False,100.0,50.0
dorlugasigal/TermBeam,2,1,1,0,0,0,False,50.0,50.0
dotnet/aspnetcore,54,31,36,13,0,0,False,57.407407407407405,66.66666666666667
dotnet/maintenance-packages,2,2,1,1,0,0,False,100.0,50.0
dotnet/skills,57,44,28,15,0,0,False,77.19298245614036,49.12280701754386
drasi-project/drasi-server,0,0,0,0,0,0,True,0.0,0.0
elastic/ai-github-actions,823,712,175,69,0,5,False,86.51275820170109,21.2636695018226
elastic/elastic-docs-skills,11,1,10,0,0,0,False,9.090909090909092,90.9090909090909
elastic/terraform-provider-elasticstack,192,175,55,38,0,0,False,91.14583333333333,28.645833333333332
fideus-labs/ngff-zarr,3,3,1,1,0,0,False,100.0,33.333333333333336
foxminchan/BookWorm,16,14,11,9,0,0,False,87.5,68.75
github/awesome-copilot,12,9,6,3,0,0,False,75.0,50.0
github/copilot-sdk,19,16,9,6,0,0,False,84.21052631578948,47.36842105263158
github/gh-aw,1288,1119,399,232,0,2,False,86.87888198757764,30.97826086956522
github/gh-aw-firewall,82,77,26,21,0,0,False,93.90243902439025,31.70731707317073
github/gh-aw-mcpg,245,224,44,24,1,0,False,91.42857142857143,17.959183673469386
githubnext/ado-aw,62,50,21,9,0,0,False,80.64516129032258,33.87096774193548
githubnext/agentics,167,97,83,13,0,0,False,58.08383233532934,49.70059880239521
kubestellar/console,11,8,5,2,0,0,False,72.72727272727273,45.45454545454545
kubestellar/docs,11,10,7,6,0,0,False,90.9090909090909,63.63636363636363
lablup/backend.ai-webui,4,4,0,0,0,0,False,100.0,0.0
microsoft/GitHub-Copilot-for-Azure,3,2,1,0,0,0,False,66.66666666666667,33.333333333333336
microsoft/Microsoft-AI-Decision-Framework,6,5,3,2,0,0,False,83.33333333333333,50.0
microsoft/aspire,35,27,24,16,0,0,False,77.14285714285714,68.57142857142857
microsoft/vscode-black-formatter,9,6,7,4,0,0,False,66.66666666666667,77.77777777777777
microsoft/vscode-flake8,11,8,8,5,0,0,False,72.72727272727273,72.72727272727273
microsoft/vscode-isort,10,7,8,5,0,0,False,70.0,80.0
microsoft/vscode-mypy,10,7,8,5,0,0,False,70.0,80.0
microsoft/vscode-pylint,11,8,8,5,0,0,False,72.72727272727273,72.72727272727273
modeled-information-format/MIF,0,0,0,0,0,0,True,0.0,0.0
ohcnetwork/care_fe,1,0,1,0,0,0,False,0.0,100.0
openvinotoolkit/openvino.genai,7,4,4,1,0,0,False,57.142857142857146,57.142857142857146
prowler-cloud/prowler,0,0,0,0,0,0,True,0.0,0.0
rancher/dashboard,32,31,5,4,0,0,False,96.875,15.625
thaw-app/Thaw,13,10,9,6,0,0,False,76.92307692307692,69.23076923076923
wp-media/wp-rocket,3,2,2,1,0,0,False,66.66666666666667,66.66666666666667
