model,shots,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
gemini,0,2152,434,193,101,0.8979166666666667,0.6835484196481629,0.9176972281449893,0.9551708832667555,0.9360591561548499
gemini,1,2141,467,160,112,0.9055555555555556,0.7148529382858416,0.930465015210778,0.9502885042166,0.940272288098375
gemini,3,2134,461,166,119,0.9010416666666666,0.7014013183742959,0.9278260869565217,0.9471815357301376,0.937403909510213
gemini,5,2119,463,164,134,0.8965277777777778,0.690889406090153,0.9281646955759965,0.9405237461162894,0.9343033509700176
glm_5_2,0,2162,432,195,91,0.9006944444444445,0.6898979654071784,0.9172677131947391,0.9596094096759876,0.9379609544468547
glm_5_2,1,2133,477,150,120,0.90625,0.7199333545112124,0.9342969776609724,0.9467376830892144,0.9404761904761905
glm_5_2,3,2124,485,142,129,0.9059027777777777,0.7216670874754467,0.9373345101500441,0.9427430093209055,0.9400309803053774
glm_5_2,5,2110,483,144,143,0.9003472222222222,0.7072710505178428,0.9361135758651287,0.9365290723479804,0.9363212780119814
gpt_oss_120b,0,1996,460,167,257,0.8527777777777777,0.5890701379256037,0.922792417938049,0.8859298712827341,0.9039855072463768
gpt_oss_120b,1,1945,505,122,308,0.8506944444444444,0.604053844073181,0.9409772617319787,0.8632933865956502,0.9004629629629629
gpt_oss_120b,3,1950,515,112,303,0.8559027777777778,0.6188566464742327,0.9456838021338506,0.8655126498002663,0.9038238702201622
gpt_oss_120b,5,1943,507,120,310,0.8506944444444444,0.604875499409419,0.941832283082889,0.8624056813138038,0.9003707136237257
