label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
CONTEXT:Domain Context,98,163,82,109,81,16,0.6631944444444444,0.3536325775104118,0.5030674846625767,0.8367346938775511,0.6283524904214559
EVALUATION:Rule Conformance,136,113,82,121,31,54,0.7048611111111112,0.40257711831315907,0.7256637168141593,0.6029411764705882,0.6586345381526104
RESOURCE:Local Workspace,166,206,150,66,56,16,0.75,0.4647945488333678,0.7281553398058253,0.9036144578313253,0.8064516129032258
CONTEXT:Repository Context,202,226,180,40,46,22,0.7638888888888888,0.3872340425531914,0.7964601769911505,0.8910891089108911,0.8411214953271028
EXAMPLE:Technical Snippet,87,99,60,162,39,27,0.7708333333333334,0.4769687964338782,0.6060606060606061,0.6896551724137931,0.6451612903225806
PROCESS:Within-Run Iteration,103,99,68,154,31,35,0.7708333333333334,0.4969032872796571,0.6868686868686869,0.6601941747572816,0.6732673267326733
OUTPUT:Control Signal,150,163,124,99,39,26,0.7743055555555556,0.5461157986616236,0.7607361963190185,0.8266666666666667,0.792332268370607
CONTEXT:Execution Environment,98,129,82,143,47,16,0.78125,0.5474408859622867,0.6356589147286822,0.8367346938775511,0.7224669603524229
TASK:Work Item Management,50,106,47,179,59,3,0.7847222222222222,0.4798415287811698,0.44339622641509435,0.94,0.6025641025641025
EVALUATION:Risk Assessment,86,50,38,190,12,48,0.7916666666666666,0.43470295734101005,0.76,0.4418604651162791,0.5588235294117647
RESOURCE:GitHub Interface,174,224,169,59,55,5,0.7916666666666666,0.5287958115183246,0.7544642857142857,0.9712643678160919,0.8492462311557789
TASK:Evidence Investigation,149,140,116,115,24,33,0.8020833333333334,0.604548082482174,0.8285714285714286,0.7785234899328859,0.8027681660899654
COMMUNICATION:Automation Disclosure,72,40,28,204,12,44,0.8055555555555556,0.391304347826087,0.7,0.3888888888888889,0.5
CONSTRAINT:Evidence Grounding,104,116,84,152,32,20,0.8194444444444444,0.6182707993474714,0.7241379310344828,0.8076923076923077,0.7636363636363637
CONSTRAINT:Scope Boundary,221,208,191,50,17,30,0.8368055555555556,0.5718623481781377,0.9182692307692307,0.8642533936651584,0.8904428904428905
CONTEXT:Historical Context,24,45,11,230,34,13,0.8368055555555556,0.23577235772357721,0.24444444444444444,0.4583333333333333,0.3188405797101449
CONSTRAINT:Resource Budget,110,114,89,153,25,21,0.8402777777777778,0.6640292148508825,0.7807017543859649,0.8090909090909091,0.7946428571428571
CONSTRAINT:Quality Standard,215,229,200,44,29,15,0.8472222222222222,0.5690089109584382,0.8733624454148472,0.9302325581395349,0.9009009009009009
EXAMPLE:Worked Case,56,44,30,218,14,26,0.8611111111111112,0.5174262734584452,0.6818181818181818,0.5357142857142857,0.6
RESOURCE:Agent Resource,62,40,33,219,7,29,0.875,0.5753604193971167,0.825,0.532258064516129,0.6470588235294118
EVALUATION:Evidence Credibility,32,23,10,243,13,22,0.8784722222222222,0.2984409799554564,0.43478260869565216,0.3125,0.36363636363636365
COMMUNICATION:Expert Role,135,160,131,124,29,4,0.8854166666666666,0.7724137931034482,0.81875,0.9703703703703703,0.888135593220339
SAFETY:Execution Isolation,40,35,21,234,14,19,0.8854166666666666,0.49446808510638274,0.6,0.525,0.56
COMMUNICATION:Audience Voice,58,59,43,214,16,15,0.8923611111111112,0.6675107999404142,0.7288135593220338,0.7413793103448276,0.7350427350427351
EVALUATION:Execution Check,74,65,54,203,11,20,0.8923611111111112,0.7064316717085363,0.8307692307692308,0.7297297297297297,0.7769784172661871
EXAMPLE:Output Template,176,191,169,90,22,7,0.8993055555555556,0.7828618968386024,0.8848167539267016,0.9602272727272727,0.9209809264305178
OUTPUT:Standalone Artifact,40,47,29,230,18,11,0.8993055555555556,0.6078136739293766,0.6170212765957447,0.725,0.6666666666666666
PROCESS:Cross-Run Memory,52,69,46,213,23,6,0.8993055555555556,0.6981786643538596,0.6666666666666666,0.8846153846153846,0.7603305785123967
TASK:Artifact Review,72,87,65,194,22,7,0.8993055555555556,0.748917748917749,0.7471264367816092,0.9027777777777778,0.8176100628930818
TASK:Executable Validation,60,77,54,205,23,6,0.8993055555555556,0.7235901509134235,0.7012987012987013,0.9,0.7883211678832117
PROCESS:Required Sequence,254,260,244,18,16,10,0.9097222222222222,0.5305917753259778,0.9384615384615385,0.9606299212598425,0.9494163424124513
PROCESS:Decision Branch,251,254,240,23,14,11,0.9131944444444444,0.5984831585991521,0.9448818897637795,0.9561752988047809,0.9504950495049505
RESOURCE:Development Toolchain,54,67,48,215,19,6,0.9131944444444444,0.7392438070404171,0.7164179104477612,0.8888888888888888,0.7933884297520661
TASK:Artifact Change,96,115,94,171,21,2,0.9201388888888888,0.8287841191066997,0.8173913043478261,0.9791666666666666,0.8909952606635071
RESOURCE:Web Retrieval,41,46,34,235,12,7,0.9340277777777778,0.742905468896824,0.7391304347826086,0.8292682926829268,0.7816091954022989
OUTPUT:Repository Change,86,92,81,191,11,5,0.9444444444444444,0.8699774266365687,0.8804347826086957,0.9418604651162791,0.9101123595505618
SAFETY:Vulnerability Handling,18,16,10,264,6,8,0.9513888888888888,0.5624999999999998,0.625,0.5555555555555556,0.5882352941176471
PROCESS:Work Delegation,26,31,22,253,9,4,0.9548611111111112,0.7470953796271281,0.7096774193548387,0.8461538461538461,0.7719298245614035
SAFETY:Information Confidentiality,21,19,14,262,5,7,0.9583333333333334,0.6776720761052044,0.7368421052631579,0.6666666666666666,0.7
OUTPUT:New Thread,120,109,109,168,0,11,0.9618055555555556,0.9203860072376358,1.0,0.9083333333333333,0.9519650655021834
OUTPUT:Existing Thread Response,114,115,111,170,4,3,0.9756944444444444,0.9492600422832981,0.9652173913043478,0.9736842105263158,0.9694323144104804
SAFETY:Prompt Injection Defense,27,27,24,258,3,3,0.9791666666666666,0.8773946360153254,0.8888888888888888,0.8888888888888888,0.8888888888888888
