label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
CONTEXT:Domain Context,98,223,94,61,129,4,0.5381944444444444,0.21411571604431676,0.42152466367713004,0.9591836734693877,0.5856697819314641
EXAMPLE:Technical Snippet,87,175,74,100,101,13,0.6041666666666666,0.27049726703106247,0.4228571428571429,0.8505747126436781,0.5648854961832062
EVALUATION:Rule Conformance,136,116,74,110,42,62,0.6388888888888888,0.2698907956318252,0.6379310344827587,0.5441176470588235,0.5873015873015873
CONSTRAINT:Quality Standard,215,161,143,55,18,72,0.6875,0.33637155000256036,0.8881987577639752,0.6651162790697674,0.7606382978723404
RESOURCE:GitHub Interface,174,221,153,46,68,21,0.6909722222222222,0.3044610875936176,0.6923076923076923,0.8793103448275862,0.7746835443037975
TASK:Evidence Investigation,149,185,124,78,61,25,0.7013888888888888,0.3968145730846036,0.6702702702702703,0.8322147651006712,0.7425149700598802
CONTEXT:Execution Environment,98,137,75,128,62,23,0.7048611111111112,0.4004114823160578,0.5474452554744526,0.7653061224489796,0.6382978723404256
OUTPUT:Control Signal,150,106,88,120,18,62,0.7222222222222222,0.45048654836863194,0.8301886792452831,0.5866666666666667,0.6875
PROCESS:Within-Run Iteration,103,81,52,156,29,51,0.7222222222222222,0.3653941497273177,0.6419753086419753,0.5048543689320388,0.5652173913043478
TASK:Work Item Management,50,94,32,176,62,18,0.7222222222222222,0.2816163631828385,0.3404255319148936,0.64,0.4444444444444444
EVALUATION:Risk Assessment,86,17,12,197,5,74,0.7256944444444444,0.14913986537023174,0.7058823529411765,0.13953488372093023,0.23300970873786409
TASK:Artifact Change,96,169,94,117,75,2,0.7326388888888888,0.4945295404814004,0.5562130177514792,0.9791666666666666,0.7094339622641509
CONTEXT:Historical Context,24,72,10,202,62,14,0.7361111111111112,0.09523809523809529,0.1388888888888889,0.4166666666666667,0.20833333333333334
CONTEXT:Repository Context,202,261,197,22,64,5,0.7604166666666666,0.2877419354838709,0.7547892720306514,0.9752475247524752,0.8509719222462203
RESOURCE:Local Workspace,166,187,142,77,45,24,0.7604166666666666,0.49792824658918644,0.7593582887700535,0.8554216867469879,0.8045325779036827
CONSTRAINT:Scope Boundary,221,229,191,29,38,30,0.7638888888888888,0.3099852018885207,0.834061135371179,0.8642533936651584,0.8488888888888889
CONSTRAINT:Evidence Grounding,104,55,46,175,9,58,0.7673611111111112,0.4382859804378203,0.8363636363636363,0.4423076923076923,0.5786163522012578
OUTPUT:Repository Change,86,141,82,143,59,4,0.78125,0.5587977823168953,0.5815602836879432,0.9534883720930233,0.7224669603524229
